system   D            wsystem.c:583  maybe_parent_dir                 [   0.00189] Also searching E:\Desktop\LUA_Test\LUA_SIClone\
display  D   display_settings.c:191  debug_display_settings           [   0.14377] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.14380] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14382] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.14383] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14385] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.14386] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14388] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.14389] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14391] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.14392] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14394] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.14395] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14397] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.14398] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14399] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.14401] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14402] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.14404] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14406] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.14408] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14410] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.14411] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14413] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.14414] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14416] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.14417] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14419] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.14420] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14422] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.14423] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14425] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.14426] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14428] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.14429] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14431] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.14432] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14434] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.14435] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.14437] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.14438] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.14440] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14441] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.14443] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14444] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.14446] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14447] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.14449] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.14450] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.14452] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.14453] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.14454] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14456] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.14457] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14459] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.14460] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14462] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.14464] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.14465] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.14467] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.14468] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.14470] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14471] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.14473] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14474] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.14476] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14477] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.14478] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.14480] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.14481] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.14483] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.14484] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14486] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.14487] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14489] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.14490] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14492] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.14494] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.14496] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.14497] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.14499] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.14500] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14502] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.14503] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14505] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.14506] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14508] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.14509] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.14511] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.14512] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.14514] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.14515] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14517] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.14518] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14520] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.14521] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14523] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.14524] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.14526] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.14532] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.14534] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.14536] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
